3,12,12,1,10,1,12,12,3,3,3,4,3,12,12,3,3,3,4,12,12,12,16,16,16,16,12,3,12,12,3,3
3,1,1,12,12,10,1,3,12,12,12,3,4,3,3,3,10,3,3,4,3,12,12,16,16,12,3,3,3,4,12,12
1,1,1,1,1,12,12,3,3,10,3,12,12,12,3,12,12,12,3,3,4,3,3,12,12,3,4,12,12,12,4,3
1,12,1,1,1,1,4,12,12,3,10,3,3,3,12,16,16,16,12,12,12,12,3,4,10,10,3,4,3,3,12,12
12,16,12,12,12,3,3,4,3,3,3,4,12,12,16,16,16,16,16,16,16,16,12,3,4,3,10,10,12,12,3,4
12,16,16,16,16,12,12,12,12,12,12,12,16,16,16,16,16,16,16,12,12,21,3,3,3,4,3,3,10,10,12,12
4,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,12,3,3,21,3,3,3,3,4,3,3,4,10,10
12,4,12,16,16,16,16,16,16,16,16,16,16,12,12,12,12,12,3,2,2,22,3,3,3,3,12,12,12,3,4,3
16,12,4,16,16,16,16,16,12,12,12,12,12,3,3,3,3,3,3,2,2,21,3,3,3,3,3,3,4,12,12,12
16,12,4,12,12,12,12,12,3,3,3,3,3,3,11,3,3,3,12,9,9,21,9,9,9,9,3,3,3,4,3,4
12,4,12,3,3,3,3,3,3,12,3,3,3,11,9,9,9,9,9,9,12,16,16,16,16,9,9,9,9,9,3,3
4,3,3,3,3,12,3,3,11,9,9,9,9,9,9,11,11,3,2,2,2,21,12,12,16,16,16,16,16,9,9,9
3,11,3,11,9,9,9,9,9,9,11,12,3,3,12,3,3,3,2,2,2,21,3,3,12,16,16,16,16,16,16,16
9,9,9,9,9,11,3,12,3,3,3,3,3,3,3,3,12,3,2,2,2,7,3,3,3,12,12,12,16,16,16,16
3,3,3,12,3,3,3,3,3,3,3,12,12,12,12,12,16,12,12,2,2,21,3,3,3,3,3,3,12,12,16,16
3,3,11,3,3,3,12,12,12,12,12,16,16,16,16,16,16,16,16,12,12,21,12,3,3,8,3,3,3,3,12,12
12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,12,3,3,3,3,3,3,3,3
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,12,3,3,3,3,6,3,3
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,12,3,3,3,3,3,3
