3,3,3,12,12,13,13,13,13,13,13,13,12,3,12,13,13,13,12,3,3,3,3,12,13,12,3,9,9,9,9,9
9,9,3,3,3,12,12,12,12,12,12,12,3,12,13,13,13,12,3,3,1,1,12,13,12,3,3,9,9,9,9,9
3,9,9,9,3,3,3,3,4,4,4,3,12,12,12,13,13,13,12,1,1,1,12,13,12,3,9,9,9,9,9,9
3,3,3,9,9,9,9,10,10,10,4,4,4,4,4,12,12,13,13,12,1,1,12,13,12,3,9,9,9,9,9,9
12,12,3,3,3,3,9,9,9,9,10,10,10,10,4,4,4,12,12,1,1,12,13,13,12,1,9,9,9,9,9,9
13,13,12,12,12,3,3,10,10,9,9,9,9,9,10,10,10,10,4,4,1,3,12,12,12,1,9,9,9,9,9,9
13,13,13,13,13,12,3,4,10,10,10,10,10,9,9,9,9,9,10,10,4,3,3,3,1,1,1,9,9,9,9,9
13,13,13,13,13,13,12,11,4,10,10,10,10,10,10,10,10,9,9,9,9,9,11,11,4,11,11,9,9,9,9,9
13,13,13,13,13,12,4,4,11,4,4,4,4,4,4,4,4,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9
13,13,13,13,12,3,3,4,4,11,11,3,12,12,12,12,4,4,4,4,10,10,10,10,4,3,9,9,9,9,9,9
13,13,13,12,3,3,3,3,3,4,11,12,13,13,13,13,12,12,12,3,4,4,4,4,3,9,9,9,9,9,9,9
13,13,13,3,3,2,2,2,2,2,4,12,13,13,13,13,13,13,13,12,3,5,3,3,9,9,9,9,9,9,9,9
13,13,13,3,3,2,2,2,2,2,3,12,13,13,13,13,13,13,13,12,4,10,4,3,3,9,9,9,9,9,9,9
13,13,13,13,18,18,18,8,18,18,18,20,12,12,12,13,13,13,12,3,4,10,10,4,3,3,9,9,9,9,9,9
13,13,13,13,3,3,3,3,3,3,3,21,2,3,3,12,13,12,3,4,10,10,10,4,3,3,9,9,9,9,9,9
13,13,13,13,3,3,3,3,3,3,3,21,2,3,3,3,12,12,4,10,10,9,9,9,3,9,9,9,9,9,9,9
13,13,13,3,3,3,3,6,3,3,3,7,2,3,3,3,3,3,4,10,9,9,9,9,9,9,9,9,9,9,9,9
13,13,13,3,3,3,3,3,3,3,3,21,2,3,3,3,3,3,4,10,9,9,9,9,9,9,9,9,9,9,9,9
13,13,3,3,3,3,3,3,3,3,3,21,2,3,3,3,3,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9
