3,3,12,12,3,9,3,3,3,3,12,12,10,10,10,12,12,4,3,9,12,12,3,4,3,3,3,3,3,12,12,3
1,1,1,1,1,9,9,12,3,3,12,12,12,10,10,10,4,3,3,9,3,3,4,11,4,3,3,12,12,3,3,3
12,12,1,1,4,12,9,12,3,3,3,12,12,12,10,10,10,4,4,9,12,3,4,11,11,4,3,3,11,11,3,10
1,1,1,4,12,13,9,12,12,3,3,3,12,12,12,4,4,4,12,9,9,12,3,4,11,4,3,3,3,11,11,3
1,12,12,4,12,13,9,12,12,12,3,3,3,3,4,4,12,12,13,13,9,13,12,3,12,12,3,3,3,3,3,3
1,1,1,4,12,13,9,9,12,12,3,5,3,4,12,12,13,13,13,13,9,13,12,3,3,12,12,3,3,3,3,3
1,4,4,3,4,12,13,9,12,12,3,3,4,12,13,13,13,12,12,12,9,12,3,3,3,3,20,18,18,22,18,18
4,10,4,3,4,12,13,9,12,4,3,4,12,13,13,12,12,4,4,4,9,3,3,14,2,2,21,3,3,3,3,3
4,10,10,4,4,12,13,9,12,4,4,12,13,13,12,4,4,4,4,3,9,3,3,3,2,2,21,3,3,3,3,3
3,4,10,4,4,12,13,9,9,12,4,4,12,12,4,4,4,12,12,4,9,3,3,3,2,2,7,3,3,6,3,3
12,3,4,4,3,4,12,13,9,12,4,11,4,4,4,12,12,13,13,12,9,4,3,3,2,2,21,3,3,3,3,3
3,12,4,10,4,4,12,13,9,12,4,4,4,12,12,13,13,13,13,13,9,12,4,14,2,2,21,3,3,3,3,3
3,3,4,10,10,4,12,13,9,12,4,4,12,13,13,13,12,12,13,13,9,13,12,4,3,3,17,18,18,8,18,18
12,3,3,3,10,4,12,13,9,9,12,4,4,12,13,12,4,4,12,13,9,13,12,4,3,12,3,2,2,2,2,2
13,12,3,3,3,3,4,12,13,9,12,4,3,12,13,12,3,3,4,12,9,13,10,11,12,12,3,3,3,3,3,3
13,13,12,3,3,3,4,12,13,9,12,4,3,3,12,3,12,3,3,10,9,9,11,11,12,3,3,3,3,3,3,3
13,13,12,3,3,12,3,4,12,9,9,12,3,3,3,12,13,12,3,3,10,9,11,11,12,12,3,3,3,4,4,4
13,13,13,12,3,12,12,3,4,4,9,4,3,10,3,12,13,12,12,4,3,9,11,4,3,12,12,3,4,10,10,4
13,13,13,12,3,3,12,3,3,3,9,3,3,3,10,3,12,10,10,10,4,9,4,3,3,3,3,4,10,10,4,3
